Asset report 16/03/21,,
,,
,,
Post Code,Local Authority,Business area
CF5 5AG     ,Cardiff,Development
CF24 4PH    ,Cardiff,Housing
CF5 5EL     ,Cardiff,Development
CF3 1QW     ,Cardiff,Development
CF5 5QW     ,Cardiff,Development
CF3 0DS     ,Cardiff,Development
CF5 4GX     ,Cardiff,Housing
CF3 1YL     ,Cardiff,Support
CF3 1LY     ,Cardiff,Support
CF24 2BD    ,Cardiff,Development
CF5 3ET     ,Cardiff,Housing
CF3 3PU     ,Cardiff,Development
CF3 3PG     ,Cardiff,Housing
CF3 5NW     ,Cardiff,Housing
CF3 3NG     ,Cardiff,Development
CF5 4AP     ,Cardiff,Housing
CF5 4QW     ,Cardiff,Housing
CF14 1PQ    ,Cardiff,Support
CF24 4ET    ,Cardiff,Housing
CF5 4JU     ,Cardiff,Housing
CF31 1TB    ,Cardiff,Development
CF24 1DN    ,Cardiff,Housing
CF23 5EG    ,Cardiff,Housing
CF14 7TD    ,Cardiff,Support
CF5 3PL     ,Cardiff,Housing
CF24 3PF    ,Cardiff,Support
CF5 5PD     ,Cardiff,Development
CF3 4JA     ,Cardiff,Development
CF14 2FS    ,Cardiff,Housing
CF24 3PS    ,Cardiff,Support
CF3 4AE     ,Cardiff,Development
CF23 5HN    ,Cardiff,Development
CF14 5QA    ,Cardiff,Development
CF3 5NL     ,Cardiff,Housing
CF3 1QZ     ,Cardiff,Development
CF5 4FY     ,Cardiff,Development
CF3 0NE     ,Cardiff,Development
CF5 5RB     ,Cardiff,Development
SA31 1BU    ,Carmarthen        ,Support
CF14 9HD    ,Cardiff,Housing
CF5 5BE     ,Cardiff,Housing
CF24 1QT    ,Cardiff,Housing
CF24 2NN    ,Cardiff,Housing
CF11 6EY    ,Cardiff,Housing
CF5 1QS     ,Cardiff,Housing
CF10 4BH    ,Cardiff,Housing
CF24 2LW    ,Cardiff,Housing
CF5 2PD     ,Cardiff,Housing
CF24 0EQ    ,Cardiff,Housing
CF11 7JY    ,Cardiff,Housing
CF11 7LS    ,Cardiff,Housing
CF24 4DG    ,Cardiff,Housing
CF11 6TD    ,Cardiff,Housing
CF24 2NR    ,Cardiff,Housing
CF11 8LA    ,Cardiff,Housing
CF5 5HG     ,Cardiff,Housing
CF14 9DG    ,Cardiff,Housing
CF14 3QN    ,Cardiff,Housing
CF61 2GG    ,VOG         ,Housing
CF38 1DU    ,RCT,Housing
CF37 4NQ    ,RCT,Housing
CF37 4NA    ,RCT,Housing
CF5 5BL     ,Cardiff,Development
CF71 7PL    ,VOG         ,Housing
CF71 7BF    ,VOG         ,Housing
CF33 4HE    ,Bridgend         ,Housing
CF33 4ND    ,Bridgend         ,Housing
CF33 4HZ    ,Bridgend         ,Housing
CF33 4LR    ,Bridgend         ,Housing
CF33 4HP    ,Bridgend         ,Housing
CF71 7BP    ,VOG         ,Development
NP44 5UY    ,Torfaen,Development
NP44 5UB    ,Torfaen,Development
NP44 5UW    ,Torfaen,Housing
NP44 5UZ    ,Torfaen,Housing
NP44 5UX    ,Torfaen,Housing
NP44 5UT    ,Torfaen,Housing
NP44 5UU    ,Torfaen,Development
CF64 4PS    ,VOG         ,Housing
CF64 4BJ    ,VOG         ,Housing
CF64 4BN    ,VOG         ,Housing
CF64 4PR    ,VOG         ,Housing
CF64 4BP    ,VOG         ,Housing
CF64 4NX    ,VOG         ,Housing
CF5 5BD     ,Cardiff,Development
CF23 8HD    ,Cardiff,Development
CF64 5FJ    ,VOG         ,Development
CF14 1BW    ,Cardiff,Development
CF31 2PZ    ,Bridgend         ,Development
CF5 2RU     ,Cardiff,Development
CF11 6JR    ,Cardiff,Development
CF14 2JB    ,Cardiff,Development
CF32 9BG    ,Bridgend         ,Development
CF23 9PU    ,Cardiff,Development
CF14 9EU    ,Cardiff,Development
CF64 4NP    ,VOG         ,Development
CF35 6SW    ,Bridgend         ,Housing
CF23 9EF    ,Cardiff,Development
CF14 5BT    ,Cardiff,Development
CF14 2LE    ,Cardiff,Development
CF38 2JJ    ,RCT,Development
CF36 3DW    ,Bridgend         ,Development
CF3 3PN     ,Cardiff,Development
CF3 0RJ     ,Cardiff,Development
CF14 9AH    ,Cardiff,Development
CF5 3QW     ,Cardiff,Development
CF31 2ED    ,Bridgend         ,Development
CF14 2BZ    ,Cardiff,Development
CF38 2PE    ,RCT,Development
CF14 9DY    ,Cardiff,Development
CF5 3NJ     ,Cardiff,Development
CF11 8FS    ,Cardiff,Development
CF5 5PT     ,Cardiff,Development
CF3 0BU     ,Cardiff,Development
CF33 4EA    ,Bridgend         ,Housing
CF36 5BP    ,Bridgend         ,Development
CF23 9BE    ,Cardiff,Development
CF3 5SD     ,Cardiff,Development
CF5 2QW     ,Cardiff,Development
CF5 1JP     ,Cardiff,Development
CF14 1UD    ,Cardiff,Housing
CF72 9LT    ,RCT,Development
CF3 1RN     ,Cardiff,Development
CF11 8ES    ,Cardiff,Development
CF34 9RG    ,Bridgend         ,Development
CF31 1JS    ,Bridgend         ,Development
CF83 3QD    ,Caerphilly         ,Development
CF5 2TB     ,Cardiff,Development
CF3 0DR     ,Cardiff,Development
CF23 6UG    ,Cardiff,Development
CF24 3HP    ,Cardiff,Housing
CF3 3AN     ,Cardiff,Development
CF14 5LQ    ,Cardiff,Development
CF5 1NG     ,Cardiff,Development
CF14 5LR    ,Cardiff,Development
CF62 9SX    ,VOG         ,Development
CF64 2TX    ,VOG         ,Development
CF47 9RD    ,Merthyr,Housing
CF48 1SJ    ,Merthyr,Housing
CF62 8BR    ,VOG         ,Housing
CF47 9PW    ,Merthyr,Housing
CF31 2QS    ,Bridgend         ,Housing
CF32 9RJ    ,Bridgend         ,Housing
CF33 6AR    ,Bridgend         ,Housing
CF47 9RY    ,Merthyr,Housing
CF31 4DD    ,Bridgend         ,Housing
CF31 2LW    ,Bridgend         ,Housing
CF31 2LX    ,Bridgend         ,Housing
CF31 2LY    ,Bridgend         ,Housing
CF31 4EN    ,Bridgend         ,Housing
CF33 6NE    ,Bridgend         ,Housing
CF31 1HG    ,Bridgend         ,Housing
CF47 9UT    ,Merthyr,Housing
CF31 4EQ    ,Bridgend         ,Housing
CF33 6BD    ,Bridgend         ,Housing
CF47 9YN    ,Merthyr,Housing
CF5 2RY     ,Cardiff,Housing
CF47 9NJ    ,Merthyr,Housing
CF62 9EH    ,VOG         ,Housing
CF63 4LP    ,VOG         ,Housing
CF31 2HG    ,Bridgend         ,Housing
CF31 4PJ    ,Bridgend         ,Housing
CF47 9RG    ,Merthyr,Housing
CF31 4ER    ,Bridgend         ,Housing
CF63 3QE    ,VOG         ,Housing
CF63 2QX    ,VOG         ,Housing
CF31 2JJ    ,Bridgend         ,Housing
CF31 2JT    ,Bridgend         ,Housing
CF62 7JF    ,VOG         ,Housing
CF62 9HA    ,VOG         ,Housing
CF62 8BE    ,VOG         ,Housing
CF63 3QG    ,VOG         ,Housing
CF63 4JX    ,VOG         ,Housing
CF63 1EU    ,VOG         ,Housing
CF33 6NB    ,Bridgend         ,Housing
CF63 4LU    ,VOG         ,Housing
CF31 2HJ    ,Bridgend         ,Housing
CF63 1BX    ,VOG         ,Housing
CF32 9JL    ,Bridgend         ,Housing
CF62 9AT    ,VOG         ,Housing
CF63 1DN    ,VOG         ,Housing
CF31 2PH    ,Bridgend         ,Housing
CF62 7FN    ,VOG         ,Housing
CF31 4TQ    ,Bridgend         ,Housing
CF63 2AL    ,VOG         ,Housing
CF31 4RP    ,Bridgend         ,Housing
CF31 2JU    ,Bridgend         ,Housing
CF63 4NL    ,VOG         ,Housing
CF63 2FA    ,VOG         ,Housing
CF62 9AD    ,VOG         ,Housing
CF47 9NN    ,Merthyr,Housing
CF47 9PS    ,Merthyr,Housing
CF63 4PR    ,VOG         ,Housing
CF35 6YA    ,Bridgend         ,Housing
CF63 1DH    ,VOG         ,Housing
CF62 9HJ    ,VOG         ,Housing
CF47 9RW    ,Merthyr,Housing
CF31 2JQ    ,Bridgend         ,Housing
CF35 6UT    ,Bridgend         ,Housing
CF33 4LH    ,Bridgend         ,Housing
CF31 2PB    ,Bridgend         ,Housing
CF31 1TL    ,Bridgend         ,Housing
CF31 4RD    ,Bridgend         ,Housing
CF63 3HZ    ,VOG         ,Housing
CF47 9NX    ,Merthyr,Housing
CF63 2HY    ,VOG         ,Housing
CF31 4UF    ,Bridgend         ,Housing
CF31 4TZ    ,Bridgend         ,Housing
CF32 9JP    ,Bridgend         ,Housing
CF31 4RU    ,Bridgend         ,Housing
CF47 9BS    ,Merthyr,Housing
CF33 4AP    ,Bridgend         ,Housing
CF31 2ND    ,Bridgend         ,Housing
CF5 1JX     ,Cardiff,Housing
CF31 4JT    ,Bridgend         ,Housing
CF48 4DX    ,Merthyr,Housing
CF31 4TU    ,Bridgend         ,Housing
CF63 4EJ    ,VOG         ,Housing
CF63 4EH    ,VOG         ,Housing
CF63 2HP    ,VOG         ,Housing
CF31 4QN    ,Bridgend         ,Housing
CF31 1HJ    ,Bridgend         ,Housing
CF31 4EF    ,Bridgend         ,Housing
CF62 9EL    ,VOG         ,Housing
CF31 4TX    ,Bridgend         ,Housing
CF31 2HT    ,Bridgend         ,Housing
CF47 9NR    ,Merthyr,Housing
CF31 2BH    ,Bridgend         ,Housing
CF31 1TA    ,Bridgend         ,Housing
CF31 1SU    ,Bridgend         ,Housing
CF62 8ER    ,VOG         ,Housing
CF63 2NH    ,VOG         ,Housing
CF47 8TG    ,Merthyr,Housing
CF62 9ET    ,VOG         ,Housing
CF31 1PE    ,Bridgend         ,Housing
CF14 1AF    ,Cardiff,Housing
CF47 9SE    ,Merthyr,Housing
CF33 6AU    ,Bridgend         ,Housing
CF63 1PJ    ,VOG         ,Housing
CF63 2AU    ,VOG         ,Housing
CF32 9QB    ,Bridgend         ,Housing
CF48 3NP    ,Merthyr,Housing
CF63 1QT    ,VOG         ,Housing
CF47 9PD    ,Merthyr,Housing
CF32 9LZ    ,Bridgend         ,Housing
CF62 7PW    ,VOG         ,Housing
CF31 2BE    ,Bridgend         ,Housing
CF62 9EJ    ,VOG         ,Housing
CF63 2AB    ,VOG         ,Housing
CF31 2JE    ,Bridgend         ,Housing
CF35 6JS    ,Bridgend         ,Housing
CF63 4LY    ,VOG         ,Housing
CF63 4LR    ,VOG         ,Housing
CF31 2NN    ,Bridgend         ,Housing
CF31 2SR    ,Bridgend         ,Housing
CF47 0PT    ,Merthyr,Housing
CF14 2JA    ,Cardiff,Housing
CF46 5BL    ,Merthyr,Housing
CF35 6SR    ,Bridgend         ,Housing
CF62 8BY    ,VOG         ,Housing
CF31 4HP    ,Bridgend         ,Housing
CF31 4HW    ,Bridgend         ,Housing
CF5 4TL     ,Cardiff,Development
CF5 5BQ     ,Cardiff,Housing
CF5 4JL     ,Cardiff,Housing
CF63 2AS    ,VOG         ,Housing
CF3 5PR     ,Cardiff,Housing
CF63 1BA    ,VOG         ,Housing
CF63 1FU    ,VOG         ,Housing
CF3 4EF     ,Cardiff,Housing
CF62 7AD    ,VOG         ,Housing
CF63 1DR    ,VOG         ,Housing
CF63 4LL    ,VOG         ,Housing
CF38 2DL    ,RCT,Housing
CF3 4EH     ,Cardiff,Housing
CF62 9AP    ,VOG         ,Housing
CF3 5RN     ,Cardiff,Housing
CF34 9TB    ,Bridgend         ,Housing
CF63 3QQ    ,VOG         ,Housing
CF3 5TU     ,Cardiff,Housing
CF3 0EQ     ,Cardiff,Housing
CF31 4DE    ,Bridgend         ,Housing
CF63 1QN    ,VOG         ,Housing
CF63 1ED    ,VOG         ,Housing
CF62 9EF    ,VOG         ,Housing
CF3 0AN     ,Cardiff,Housing
CF32 9YH    ,Bridgend         ,Housing
CF37 5DB    ,RCT,Housing
CF63 3NQ    ,VOG         ,Housing
CF35 6YN    ,Bridgend         ,Housing
CF3 4EA     ,Cardiff,Housing
CF31 4JX    ,Bridgend         ,Housing
CF31 4UA    ,Bridgend         ,Housing
CF63 2HJ    ,VOG         ,Housing
CF3 2NN     ,Cardiff,Housing
CF3 0AB     ,Cardiff,Housing
CF33 6NR    ,Bridgend         ,Housing
CF3 5SB     ,Cardiff,Housing
CF38 1HU    ,RCT,Housing
CF62 9EE    ,VOG         ,Housing
CF37 5SB    ,RCT,Housing
CF3 5QY     ,Cardiff,Housing
CF3 0NG     ,Cardiff,Housing
CF63 2JF    ,VOG         ,Housing
CF62 8DT    ,VOG         ,Housing
CF63 2NY    ,VOG         ,Housing
CF3 5QD     ,Cardiff,Housing
CF3 0LH     ,Cardiff,Housing
CF3 4DQ     ,Cardiff,Housing
CF31 4XB    ,Bridgend         ,Housing
CF32 9YE    ,Bridgend         ,Housing
CF3 5QE     ,Cardiff,Housing
CF3 5QF     ,Cardiff,Housing
CF35 6UW    ,Bridgend         ,Housing
CF38 2DG    ,RCT,Housing
CF5 3DT     ,Cardiff,Support
CF14 2PT    ,Cardiff,Housing
CF14 2PA    ,Cardiff,Housing
CF14 2PW    ,Cardiff,Housing
CF14 2PU    ,Cardiff,Housing
CF14 2PZ    ,Cardiff,Housing
CF14 2PX    ,Cardiff,Housing
CF14 3BJ    ,Cardiff,Housing
CF14 2PY    ,Cardiff,Housing
CF37 3BT    ,RCT,Central
CF37 5BN    ,RCT,Housing
CF37 5AZ    ,RCT,Housing
CF33        ,Bridgend         ,Development
CF31 2DD    ,Bridgend         ,Development
CF31 2DH    ,Bridgend         ,Development
CF32 6HT    ,Bridgend         ,Development
CF33 4PD    ,Bridgend         ,Development
CF31 4JY    ,Bridgend         ,Development
CF3 0FA     ,Cardiff,Development
CF23 8AH    ,Cardiff,Development
CF24 1AD    ,Cardiff,Development
CF48 3RP    ,Merthyr,Development
CF47 0PP    ,Merthyr,Development
CF47 0YL    ,Merthyr,Development
CF48 4DH    ,RCT,Development
CF48 3NT    ,Merthyr,Development
CF48 4QZ    ,RCT,Development
CF48 4NY    ,Merthyr,Development
CF48 3NL    ,RCT,Development
CF5 1AA     ,Cardiff,Development
CF37 5BS    ,RCT,Development
CF11 6SJ    ,Cardiff,Development
CF64 5FF    ,VOG         ,Development
CF64 2NT    ,VOG         ,Development
CF14 5JZ    ,Cardiff,Development
CF33 6NF    ,Bridgend         ,Development
CF14 2FJ    ,Cardiff,Development
CF34 0NP    ,Bridgend         ,Development
CF63 4JZ    ,VOG         ,Development
CF3 1SX     ,Cardiff,Development
CF34 0AX    ,Bridgend         ,Development
CF24 1QF    ,Cardiff,Development
CF3 0AZ     ,Cardiff,Development
CF14 9AP    ,Cardiff,Development
CF5 5JS     ,Cardiff,Development
CF62 8H2    ,VOG         ,Development
CF11 7AR    ,Cardiff,Development
CF3 5RR     ,Cardiff,Development
CF64 4PT    ,VOG         ,Development
CF15 7NQ    ,RCT,Development
CF63 1EW    ,VOG         ,Development
CF6102SQ    ,Bridgend         ,Development
CF32 0PF    ,VOG         ,Development
CF5 2DH     ,Cardiff,Development
CF72 9WA    ,RCT,Development
CF11 8AN    ,Cardiff,Development
CF61 2UE    ,VOG         ,Development
CF35 6EA    ,Bridgend         ,Development
CF64 5TT    ,VOG         ,Development
CF23 8ET    ,Cardiff,Development
CF23 9BD    ,Cardiff,Development
CF5 4DL     ,Cardiff,Development
CF62 8NB    ,VOG         ,Development
CF11 9NS    ,Cardiff,Development
CF23 7BS    ,Cardiff,Development
CF23 9JB    ,Cardiff,Development
CF3 3HJ     ,Cardiff,Development
CF64 1FA    ,VOG         ,Development
CF4 2EZ     ,Cardiff,Development
CF64 2JY    ,VOG         ,Development
CF62 5AZ    ,VOG         ,Development
CF5 3PR     ,Cardiff,Development
CF34 0JA    ,Bridgend         ,Development
CF64 2AR    ,VOG         ,Development
CF38 1NA    ,RCT,Development
CF36 5SE    ,Bridgend         ,Development
CF24 2LY    ,Cardiff,Development
CF34 9SF    ,Bridgend         ,Development
CF23 8LQ    ,Cardiff,Development
CF32 9SR    ,Bridgend         ,Development
